date,name,train,test,time,accuracy
14-03-02-17-32,svm_tfidf,10000,359,5.951326,0.696378830084
14-03-02-17-32,svm_tfidf,20000,359,23.008403,0.690807799443
14-03-02-17-34,svm_tfidf,30000,359,52.456494,0.693593314763
14-03-02-17-36,svm_tfidf,40000,359,106.579167,0.701949860724
14-03-02-17-39,svm_tfidf,50000,359,166.664373,0.718662952646
14-03-02-17-43,svm_tfidf,60000,359,261.229899,0.732590529248
14-03-02-18-00,svm_tfidf,70000,359,375.677988,0.704735376045
14-03-02-18-09,svm_tfidf,80000,359,505.323451,0.710306406685
14-03-02-18-20,svm_tfidf,90000,359,644.366884,0.710306406685
14-03-02-18-35,svm_tfidf,100000,359,863.903598,0.696378830084
14-03-03-08-39,svm_tfidf,10000,359,6.008662,0.696378830084
14-03-03-08-39,svm_tfidf,20000,359,23.555268,0.701949860724
14-03-03-08-41,svm_tfidf,30000,359,58.89389,0.688022284123
14-03-03-08-43,svm_tfidf,40000,359,103.32998,0.596100278552
14-03-03-08-46,svm_tfidf,50000,359,164.696436,0.604456824513
14-03-03-08-50,svm_tfidf,60000,359,267.977109,0.676880222841
14-03-03-08-57,svm_tfidf,70000,359,398.700262,0.676880222841
14-03-03-09-06,linear_svm_tfidf_unigram,10000,359,0.032626,0.701949860724
14-03-03-09-06,linear_svm_tfidf_unigram,20000,359,0.094792,0.743732590529
14-03-03-09-06,linear_svm_tfidf_unigram,30000,359,0.178418,0.727019498607
14-03-03-09-06,linear_svm_tfidf_unigram,40000,359,0.308824,0.735376044568
14-03-03-09-06,linear_svm_tfidf_unigram,50000,359,0.446501,0.763231197772
14-03-03-09-06,linear_svm_tfidf_unigram,60000,359,0.661731,0.760445682451
14-03-03-09-06,linear_svm_tfidf_unigram,70000,359,0.777914,0.763231197772
14-03-03-09-06,linear_svm_tfidf_unigram,80000,359,1.065416,0.757660167131
14-03-03-09-06,linear_svm_tfidf_unigram,90000,359,1.176313,0.718662952646
14-03-03-09-06,linear_svm_tfidf_unigram,100000,359,1.384549,0.777158774373
14-03-03-09-08,linear_svm_tfidf_unigram,50000,359,0.407909,0.785515320334
14-03-03-09-09,linear_svm_tfidf_unigram,100000,359,1.182512,0.760445682451
14-03-03-09-09,linear_svm_tfidf_unigram,150000,359,2.171038,0.771587743733
14-03-03-09-09,linear_svm_tfidf_unigram,200000,359,2.902601,0.779944289694
14-03-03-09-09,linear_svm_tfidf_unigram,250000,359,3.731318,0.760445682451
14-03-03-09-09,linear_svm_tfidf_unigram,300000,359,4.736203,0.75208913649
14-03-03-09-10,linear_svm_tfidf_unigram,350000,359,5.6052,0.74930362117
14-03-03-09-10,linear_svm_tfidf_unigram,400000,359,6.374144,0.782729805014
14-03-03-09-10,linear_svm_tfidf_unigram,450000,359,7.416095,0.788300835655
14-03-03-09-11,linear_svm_tfidf_unigram,500000,359,8.461537,0.763231197772
14-03-03-09-12,linear_svm_tfidf_bigram,50000,359,0.369326,0.766016713092
14-03-03-09-12,linear_svm_tfidf_bigram,100000,359,1.006067,0.713091922006
14-03-03-09-12,linear_svm_tfidf_bigram,150000,359,1.900574,0.768802228412
14-03-03-09-13,linear_svm_tfidf_bigram,200000,359,2.828059,0.788300835655
14-03-03-09-13,linear_svm_tfidf_bigram,250000,359,3.664914,0.774373259053
14-03-03-09-14,linear_svm_tfidf_bigram,300000,359,4.736106,0.774373259053
14-03-03-09-14,linear_svm_tfidf_bigram,350000,359,5.625623,0.807799442897
14-03-03-09-15,linear_svm_tfidf_bigram,400000,359,6.197757,0.802228412256
14-03-03-09-15,linear_svm_tfidf_bigram,450000,359,7.259289,0.757660167131
14-03-03-09-16,linear_svm_tfidf_bigram,500000,359,8.103173,0.763231197772
14-03-03-09-30,linear_svm_tfidf_bigram,200000,359,2.845518,0.777158774373
14-03-03-09-30,linear_svm_tfidf_bigram,400000,359,6.293112,0.777158774373
14-03-03-09-31,linear_svm_tfidf_bigram,600000,359,10.096762,0.779944289694
14-03-03-09-32,linear_svm_tfidf_bigram,800000,359,13.822408,0.799442896936
14-03-03-09-34,linear_svm_tfidf_bigram,1000000,359,18.302313,0.779944289694
14-03-03-18-57,linear_svm_tfidf_bigram,1598923,359,31.339241,0.754874651811
14-03-03-19-27,linear_svm_tfidf_bigram,30000,359,0.195931,0.710306406685
14-03-03-19-33,linear_svm_tfidf_bigram,30000,359,0.282005,0.713091922006
14-03-03-19-35,linear_svm_tfidf_bigram,30000,359,0.196422,0.713091922006
14-03-03-19-36,linear_svm_tfidf_bigram,30000,359,0.220876,0.713091922006
14-03-03-19-39,linear_svm_tfidf_bigram,30000,359,0.19357,0.710306406685
14-03-03-19-41,linear_svm_tfidf_bigram,30000,359,0.203327,0.729805013928
14-03-03-19-44,linear_svm_tfidf_bigram,200000,359,2.840272,0.682451253482
14-03-03-19-54,linear_svm_tfidf_trigram,200000,359,2.786932,0.682451253482
14-03-03-19-59,linear_svm_tfidf_bigram,200000,359,2.839802,0.682451253482
14-03-03-20-06,linear_svm_tfidf_bigram,200000,359,2.787994,0.679665738162
14-03-03-20-08,linear_svm_tfidf_bigram,200000,359,3.304382,0.679665738162
14-03-03-20-11,linear_svm_tfidf_bigram,500000,359,8.147999,0.671309192201
14-03-03-20-15,linear_svm_tfidf_bigram,500000,359,8.082203,0.671309192201
14-03-03-20-39,linear_svm_tfidf_bigram,500000,359,8.096807,0.671309192201
14-03-03-20-49,linear_svm_tfidf_unigram,500000,359,8.2149,0.704735376045
14-03-03-20-55,linear_svm_tfidf_unigram,50000,359,0.379826,0.715877437326
14-03-03-20-58,linear_svm_tfidf_unigram,50000,359,0.421912,0.715877437326
14-03-03-21-03,linear_svm_tfidf_bigram,50000,359,0.382573,0.718662952646
14-03-03-21-05,linear_svm_count_bigram,50000,359,5.113105,0.710306406685
14-03-03-21-16,linear_svm_count_bigram,50000,359,5.113105,0.710306406685
14-03-03-21-17,linear_svc_tfidf_bigram,350000,359,5.470199,0.682451253482
14-03-03-21-24,linear_svc_tfidf_bigram,350000,359,5.542068,0.682451253482
14-03-03-21-26,linear_svc_tfidf_bigram,350000,359,5.396688,0.727019498607
14-03-03-21-28,linear_svc_tfidf_bigram,350000,359,6.134524,0.735376044568
14-03-03-21-33,linear_svc_tfidf_bigram,350000,359,5.566368,0.727019498607
14-03-03-21-34,linear_svc_tfidf_bigram,350000,359,5.408776,0.727019498607
14-03-03-21-36,linear_svc_tfidf_bigram,350000,359,5.388625,0.727019498607
14-03-03-21-38,linear_svc_tfidf_bigram,350000,359,5.529343,0.727019498607
14-03-03-21-41,linear_svc_tfidf_bigram,100000,359,1.144681,0.763231197772
14-03-03-21-50,linear_svc_tfidf_bigram,100000,359,1.085528,0.732590529248
14-03-03-21-51,linear_svc_tfidf_bigram,100000,359,1.039998,0.757660167131
14-03-03-21-55,linear_svc_tfidf_bigram,100000,359,1.049758,0.774373259053
14-03-03-21-56,linear_svc_tfidf_bigram,100000,359,1.076938,0.763231197772
14-03-03-21-57,linear_svc_tfidf_bigram,100000,359,1.039998,0.757660167131
14-03-04-08-51,linear_svc_tfidf_bigram,100000,359,1.033368,0.788300835655
14-03-04-10-22,linear_svc_tfidf_bigram,100000,359,1.15977,0.768802228412
14-03-04-10-24,linear_svc_tfidf_bigram,100000,359,1.121454,0.760445682451
14-03-04-18-54,linear_svc_tfidf_bigram,100000,359,1.022077,0.768802228412
14-03-04-20-04,linear_svc_tfidf_bigram,100000,359,1.026463,0.713091922006
